Enter your District,PIN code,Gender,Which of the following factors influence the most about your career aspirations,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,How likely is that you will work for one employer for 3 years or more ?,Would you work for a company whose mission is not clearly defined and publicly posted.,How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,How likely would you work for a company whose mission is not bringing social impact ?,What is the most preferred working environment for you.,Which of the below Employers would you work with.,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job,What type of Manager would you work without looking into your watch ?,Which of the following setup you would like to work ?
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,2,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will work for them,6,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Female,Social Media like LinkedIn,Yes,Will work for 3 years or more,No,Will NOT work for them,7,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 5 to 6 people in my team"
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,1,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Female,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,3,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 7 to 10 or more people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,No,Will work for them,8,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,No,Will NOT work for them,5,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,Social Media like LinkedIn,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Remote,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with more than 10 people in my team
Bangalore,560001,Female,People who have changed the world for better,No,Will work for 3 years or more,No,Will work for them,6,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
Bangalore,560001,Female,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
Bangalore,560001,Male,Social Media like LinkedIn,Yes,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,1,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with more than 10 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,7,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,Social Media like LinkedIn,No,Will work for 3 years or more,No,Will NOT work for them,7,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,Manager who sets goal and helps me achieve it,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,10,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
Bangalore,560001,Male,Social Media like LinkedIn,Yes,Will work for 3 years or more,No,Will NOT work for them,6,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Female,Social Media like LinkedIn,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,4,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,No,Will NOT work for them,8,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,10,Remote,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,Yes,Will work for them,8,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,Yes,Will work for them,8,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,No,Will NOT work for them,8,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,"Work alone, Work with more than 10 people in my team"
Bangalore,560001,Female,People who have changed the world for better,No,Will work for 3 years or more,No,Will work for them,3,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Female,Social Media like LinkedIn,No,Will work for 3 years or more,Yes,Will work for them,5,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,Social Media like LinkedIn,Yes,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,6,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,Manager who sets goal and helps me achieve it,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,Manager who sets goal and helps me achieve it,"Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,Yes,Will NOT work for them,10,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,4,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Business Operation,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,6,Remote,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work alone
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,8,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Design and Developement,Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
Bangalore,560001,Female,Social Media like LinkedIn,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will work for them,8,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will NOT work for them,5,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 5 to 6 people in my team"
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Female,People who have changed the world for better,No,Will work for 3 years or more,Yes,Will work for them,5,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work alone
Bangalore,560001,Female,Social Media like LinkedIn,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
Bangalore,560001,Female,Social Media like LinkedIn,Yes,Will work for 3 years or more,No,Will NOT work for them,1,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,No,Will work for 3 years or more,No,Will NOT work for them,1,Remote,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
Bangalore,560001,Female,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will work for them,1,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Female,People who have changed the world for better,Yes,Will work for 3 years or more,Yes,Will work for them,1,Remote,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work alone
Bangalore,560001,Male,People who have changed the world for better,No,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,3,Remote,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Female,Social Media like LinkedIn,No,Will work for 3 years or more,No,Will NOT work for them,6,Office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
Bangalore,560001,Female,People who have changed the world for better,Yes,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid (Office + Home),"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company",Design and Developement,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,Yes,Will work for them,2,Office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,Manager who sets goal and helps me achieve it,Work with 7 to 10 or more people in my team
Bangalore,560001,Male,People who have changed the world for better,Yes,Will work for 3 years or more,No,Will work for them,8,Hybrid (Office + Home),Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs",Design and Developement,Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
